30,25,0,
65535,0,0,0,65535,0,0,0,0,30000,
18758,27196,16402,11368,0,0,0,0,29880,119,
18761,26689,16401,12233,0,0,0,0,29849,150,
18762,26187,16401,12960,0,0,0,0,29810,189,
18765,25728,16401,13521,0,0,0,0,29761,238,
18768,25284,16400,13972,0,0,0,0,29700,300,
18773,24863,16398,14332,0,0,0,0,29622,377,
18777,24460,16397,14626,0,0,0,0,29524,476,
18781,24074,16397,14860,0,0,0,0,29401,599,
18788,23713,16396,15052,0,0,0,0,29246,755,
18798,23376,16394,15207,0,0,0,0,29051,952,
18807,23054,16391,15338,0,0,0,0,28805,1200,
18819,22757,16388,15446,0,0,0,0,28496,1513,
18834,22463,16385,15543,0,0,0,0,28107,1908,
18855,22182,16380,15628,0,0,0,0,27617,2408,
18882,21915,16374,15702,0,0,0,0,27000,3041,
18916,21659,16367,15770,0,0,0,0,26223,3841,
18959,21410,16358,15832,0,0,0,0,25245,4858,
19015,21163,16345,15892,0,0,0,0,24014,6152,
19088,20912,16329,15949,0,0,0,0,22464,7802,
19183,20666,16307,16006,0,0,0,0,20513,9913,
19309,20422,16279,16061,0,0,0,0,18056,12628,
19494,20163,16238,16117,0,0,0,0,14964,16137,
19770,19888,16178,16178,0,0,0,0,11071,20709,
0,65535,0,0,0,65535,0,0,30000,0,
