50,30,0,
65535,0,0,0,65535,0,0,0,0,50000,
17906,22493,16593,15531,0,0,0,0,48225,1788,
17918,22350,16591,15576,0,0,0,0,48009,2008,
17930,22212,16588,15618,0,0,0,0,47766,2255,
17947,22075,16584,15658,0,0,0,0,47494,2533,
17961,21943,16580,15696,0,0,0,0,47188,2847,
17976,21808,16578,15731,0,0,0,0,46845,3199,
17996,21677,16573,15767,0,0,0,0,46460,3596,
18003,21547,16571,15799,0,0,0,0,46028,4043,
18042,21420,16563,15832,0,0,0,0,45543,4548,
18070,21297,16556,15863,0,0,0,0,45000,5116,
18100,21172,16549,15893,0,0,0,0,44389,5756,
18133,21049,16542,15922,0,0,0,0,43705,6479,
18166,20926,16535,15950,0,0,0,0,42937,7296,
18202,20805,16528,15979,0,0,0,0,42075,8220,
18244,20683,16519,16007,0,0,0,0,41108,9265,
18294,20562,16508,16034,0,0,0,0,40023,10449,
18349,20437,16495,16062,0,0,0,0,38806,11792,
18406,20312,16482,16090,0,0,0,0,37440,13319,
18469,20185,16468,16118,0,0,0,0,35908,15055,
18539,20055,16453,16146,0,0,0,0,34188,17035,
18616,19921,16435,16175,0,0,0,0,32259,19295,
18704,19923,16417,16175,0,0,0,0,30094,420,
18806,19923,16394,16175,0,0,0,0,27665,3129,
18935,19923,16365,16175,0,0,0,0,24940,6248,
19078,19922,16334,16175,0,0,0,0,21882,9853,
19250,19922,16296,16176,0,0,0,0,18452,14037,
19473,19922,16247,16175,0,0,0,0,14602,18918,
19792,19923,16176,16175,0,0,0,0,10283,818,
0,65535,0,0,0,65535,0,0,50000,0,
